product_id,product_name,category,brand,price_eur,cost_eur,weight_kg,is_available,created_date,product_key,margin_eur,margin_pct,price_tier
P00001,EcoHome Maus,Elektronik,EcoHome,375.19,170.32,13.73,True,2023-03-24,1,204.87,54.6,Luxury
P00002,DeskMaster Maus,Elektronik,DeskMaster,470.58,240.26,0.9,True,2023-01-22,2,230.32,48.9,Luxury
P00003,TechPro Kopfhörer,Elektronik,TechPro,464.99,232.4,7.6,False,2023-09-03,3,232.59,50.0,Luxury
P00004,StyleWorks Tastatur,Elektronik,StyleWorks,63.89,30.54,2.74,False,2023-01-08,4,33.35,52.2,Mid-Range
P00005,FitLife Kopfhörer,Elektronik,FitLife,20.85,8.55,10.56,True,2023-07-23,5,12.3,59.0,Budget
P00006,SmartGear Smartphone,Elektronik,SmartGear,146.07,80.54,14.64,True,2023-09-13,6,65.53,44.9,Premium
P00007,UrbanWear Laptop,Elektronik,UrbanWear,182.22,121.74,4.44,True,2023-01-08,7,60.48,33.2,Premium
P00008,TechPro Tastatur,Elektronik,TechPro,83.27,38.93,8.42,True,2023-07-06,8,44.34,53.2,Mid-Range
P00009,FitLife Tastatur,Elektronik,FitLife,193.38,78.83,9.68,True,2023-03-18,9,114.55,59.2,Premium
P00010,SportMax Kopfhörer,Elektronik,SportMax,453.33,237.07,7.92,True,2023-04-19,10,216.26,47.7,Luxury
P00011,SmartGear Tastatur,Elektronik,SmartGear,270.48,133.89,3.95,False,2023-11-05,11,136.59,50.5,Luxury
P00012,FitLife Tablet,Elektronik,FitLife,355.85,190.68,3.72,True,2023-01-20,12,165.17,46.4,Luxury
P00013,SportMax Tablet,Elektronik,SportMax,448.62,305.46,12.13,True,2023-01-14,13,143.16,31.9,Luxury
P00014,SmartGear Kopfhörer,Elektronik,SmartGear,77.57,43.2,9.53,True,2024-03-06,14,34.37,44.3,Mid-Range
P00015,HomePlus Laptop,Elektronik,HomePlus,300.39,170.35,9.87,True,2023-05-22,15,130.04,43.3,Luxury
P00016,SmartGear Tastatur,Elektronik,SmartGear,362.34,190.24,11.38,True,2023-10-23,16,172.1,47.5,Luxury
P00017,OfficeLine Maus,Elektronik,OfficeLine,183.79,100.36,14.68,True,2023-07-10,17,83.43,45.4,Premium
P00018,TechPro Tablet,Elektronik,TechPro,161.76,77.75,8.03,True,2023-11-24,18,84.01,51.9,Premium
P00019,EcoHome Monitor,Elektronik,EcoHome,178.81,109.24,3.42,True,2023-04-15,19,69.57,38.9,Premium
P00020,SportMax Smartphone,Elektronik,SportMax,322.16,173.56,8.39,True,2023-01-15,20,148.6,46.1,Luxury
P00021,DeskMaster Smartphone,Elektronik,DeskMaster,60.71,27.41,1.63,True,2024-02-20,21,33.3,54.9,Mid-Range
P00022,FitLife Monitor,Elektronik,FitLife,20.11,14.02,10.28,True,2023-12-29,22,6.09,30.3,Budget
P00023,FitLife Maus,Elektronik,FitLife,421.11,170.41,9.72,True,2023-07-29,23,250.7,59.5,Luxury
P00024,EcoHome Laptop,Elektronik,EcoHome,238.26,98.12,0.32,True,2023-03-25,24,140.14,58.8,Premium
P00025,FitLife Tastatur,Elektronik,FitLife,46.62,22.95,4.39,True,2023-07-16,25,23.67,50.8,Mid-Range
P00026,OfficeLine Kopfhörer,Elektronik,OfficeLine,393.21,249.76,7.84,True,2023-07-15,26,143.45,36.5,Luxury
P00027,HomePlus Monitor,Elektronik,HomePlus,101.05,54.9,7.47,True,2023-01-28,27,46.15,45.7,Premium
P00028,SmartGear Monitor,Elektronik,SmartGear,127.42,85.42,12.53,True,2024-05-01,28,42.0,33.0,Premium
P00029,SportMax Tablet,Elektronik,SportMax,204.96,138.27,1.97,True,2024-01-20,29,66.69,32.5,Premium
P00030,FitLife Tablet,Elektronik,FitLife,236.95,131.67,2.18,True,2023-07-17,30,105.28,44.4,Premium
P00031,StyleWorks Mixer,Haushalt,StyleWorks,277.94,168.68,7.09,True,2024-03-25,31,109.26,39.3,Luxury
P00032,EcoHome Mixer,Haushalt,EcoHome,276.21,131.24,13.38,True,2023-10-18,32,144.97,52.5,Luxury
P00033,OfficeLine Mixer,Haushalt,OfficeLine,21.51,11.33,2.9,False,2023-03-06,33,10.18,47.3,Budget
P00034,HomePlus Toaster,Haushalt,HomePlus,445.99,208.76,13.95,True,2023-03-26,34,237.23,53.2,Luxury
P00035,SportMax Mixer,Haushalt,SportMax,133.75,82.25,9.01,True,2023-02-20,35,51.5,38.5,Premium
P00036,StyleWorks Kaffeemaschine,Haushalt,StyleWorks,481.56,297.06,9.7,True,2023-09-10,36,184.5,38.3,Luxury
P00037,OfficeLine Wasserkocher,Haushalt,OfficeLine,488.35,243.87,1.87,True,2023-03-18,37,244.48,50.1,Luxury
P00038,SmartGear Wasserkocher,Haushalt,SmartGear,258.62,116.35,10.61,True,2023-04-16,38,142.27,55.0,Luxury
P00039,StyleWorks Mixer,Haushalt,StyleWorks,483.04,230.95,0.38,True,2023-08-21,39,252.09,52.2,Luxury
P00040,HomePlus Staubsauger,Haushalt,HomePlus,108.96,52.14,7.74,True,2023-10-10,40,56.82,52.1,Premium
P00041,SportMax Mixer,Haushalt,SportMax,402.8,231.28,11.62,True,2023-03-06,41,171.52,42.6,Luxury
P00042,EcoHome Staubsauger,Haushalt,EcoHome,279.86,129.91,7.19,True,2023-09-19,42,149.95,53.6,Luxury
P00043,DeskMaster Staubsauger,Haushalt,DeskMaster,92.64,58.93,14.76,False,2024-05-12,43,33.71,36.4,Mid-Range
P00044,TechPro Wasserkocher,Haushalt,TechPro,464.18,296.1,13.84,True,2023-09-04,44,168.08,36.2,Luxury
P00045,EcoHome Mixer,Haushalt,EcoHome,55.74,33.69,10.23,True,2023-11-17,45,22.05,39.6,Mid-Range
P00046,SmartGear Mixer,Haushalt,SmartGear,57.89,39.73,13.83,True,2024-01-31,46,18.16,31.4,Mid-Range
P00047,UrbanWear Toaster,Haushalt,UrbanWear,392.86,241.89,7.5,False,2024-04-19,47,150.97,38.4,Luxury
P00048,TechPro Toaster,Haushalt,TechPro,417.64,212.22,6.51,True,2023-12-01,48,205.42,49.2,Luxury
P00049,UrbanWear Staubsauger,Haushalt,UrbanWear,417.03,180.45,1.71,True,2023-01-23,49,236.58,56.7,Luxury
P00050,SmartGear Toaster,Haushalt,SmartGear,43.78,26.15,13.26,True,2024-03-25,50,17.63,40.3,Mid-Range
P00051,SportMax Wasserkocher,Haushalt,SportMax,394.52,222.21,2.4,True,2023-09-28,51,172.31,43.7,Luxury
P00052,FitLife Mixer,Haushalt,FitLife,150.44,76.79,1.26,True,2023-10-24,52,73.65,49.0,Premium
