product_id,product_name,category,brand,price_eur,cost_eur,weight_kg,is_available,created_date,margin_eur,margin_pct
P00001,EcoHome Maus,Elektronik,EcoHome,375.19,170.32,13.73,True,2023-03-24,204.87,54.6
P00002,DeskMaster Maus,Elektronik,DeskMaster,470.58,240.26,0.9,True,2023-01-22,230.32,48.9
P00003,TechPro Kopfhörer,Elektronik,TechPro,464.99,232.4,7.6,False,2023-09-03,232.59,50.0
P00004,StyleWorks Tastatur,Elektronik,StyleWorks,63.89,30.54,2.74,False,2023-01-08,33.35,52.2
P00005,FitLife Kopfhörer,Elektronik,FitLife,20.85,8.55,10.56,True,2023-07-23,12.3,59.0
P00006,SmartGear Smartphone,Elektronik,SmartGear,146.07,80.54,14.64,True,2023-09-13,65.53,44.9
P00007,UrbanWear Laptop,Elektronik,UrbanWear,182.22,121.74,4.44,True,2023-01-08,60.48,33.2
P00008,TechPro Tastatur,Elektronik,TechPro,83.27,38.93,8.42,True,2023-07-06,44.34,53.2
P00009,FitLife Tastatur,Elektronik,FitLife,193.38,78.83,9.68,True,2023-03-18,114.55,59.2
P00010,SportMax Kopfhörer,Elektronik,SportMax,453.33,237.07,7.92,True,2023-04-19,216.26,47.7
P00011,SmartGear Tastatur,Elektronik,SmartGear,270.48,133.89,3.95,False,2023-11-05,136.59,50.5
P00012,FitLife Tablet,Elektronik,FitLife,355.85,190.68,3.72,True,2023-01-20,165.17,46.4
P00013,SportMax Tablet,Elektronik,SportMax,448.62,305.46,12.13,True,2023-01-14,143.16,31.9
P00014,SmartGear Kopfhörer,Elektronik,SmartGear,77.57,43.2,9.53,True,2024-03-06,34.37,44.3
P00015,HomePlus Laptop,Elektronik,HomePlus,300.39,170.35,9.87,True,2023-05-22,130.04,43.3
P00016,SmartGear Tastatur,Elektronik,SmartGear,362.34,190.24,11.38,True,2023-10-23,172.1,47.5
P00017,OfficeLine Maus,Elektronik,OfficeLine,183.79,100.36,14.68,True,2023-07-10,83.43,45.4
P00018,TechPro Tablet,Elektronik,TechPro,161.76,77.75,8.03,True,2023-11-24,84.01,51.9
P00019,EcoHome Monitor,Elektronik,EcoHome,178.81,109.24,3.42,True,2023-04-15,69.57,38.9
P00020,SportMax Smartphone,Elektronik,SportMax,322.16,173.56,8.39,True,2023-01-15,148.6,46.1
P00021,DeskMaster Smartphone,Elektronik,DeskMaster,60.71,27.41,1.63,True,2024-02-20,33.3,54.9
P00022,FitLife Monitor,Elektronik,FitLife,20.11,14.02,10.28,True,2023-12-29,6.09,30.3
P00023,FitLife Maus,Elektronik,FitLife,421.11,170.41,9.72,True,2023-07-29,250.7,59.5
P00024,EcoHome Laptop,Elektronik,EcoHome,238.26,98.12,0.32,True,2023-03-25,140.14,58.8
P00025,FitLife Tastatur,Elektronik,FitLife,46.62,22.95,4.39,True,2023-07-16,23.67,50.8
P00026,OfficeLine Kopfhörer,Elektronik,OfficeLine,393.21,249.76,7.84,True,2023-07-15,143.45,36.5
P00027,HomePlus Monitor,Elektronik,HomePlus,101.05,54.9,7.47,True,2023-01-28,46.15,45.7
P00028,SmartGear Monitor,Elektronik,SmartGear,127.42,85.42,12.53,True,2024-05-01,42.0,33.0
P00029,SportMax Tablet,Elektronik,SportMax,204.96,138.27,1.97,True,2024-01-20,66.69,32.5
P00030,FitLife Tablet,Elektronik,FitLife,236.95,131.67,2.18,True,2023-07-17,105.28,44.4
P00031,StyleWorks Mixer,Haushalt,StyleWorks,277.94,168.68,7.09,True,2024-03-25,109.26,39.3
P00032,EcoHome Mixer,Haushalt,EcoHome,276.21,131.24,13.38,True,2023-10-18,144.97,52.5
P00033,OfficeLine Mixer,Haushalt,OfficeLine,21.51,11.33,2.9,False,2023-03-06,10.18,47.3
P00034,HomePlus Toaster,Haushalt,HomePlus,445.99,208.76,13.95,True,2023-03-26,237.23,53.2
P00035,SportMax Mixer,Haushalt,SportMax,133.75,82.25,9.01,True,2023-02-20,51.5,38.5
P00036,StyleWorks Kaffeemaschine,Haushalt,StyleWorks,481.56,297.06,9.7,True,2023-09-10,184.5,38.3
P00037,OfficeLine Wasserkocher,Haushalt,OfficeLine,488.35,243.87,1.87,True,2023-03-18,244.48,50.1
P00038,SmartGear Wasserkocher,Haushalt,SmartGear,258.62,116.35,10.61,True,2023-04-16,142.27,55.0
P00039,StyleWorks Mixer,Haushalt,StyleWorks,483.04,230.95,0.38,True,2023-08-21,252.09,52.2
