transaction_id,date_key,customer_key,product_key,channel_key,quantity,unit_price_eur,discount_pct,total_amount_eur,net_amount_eur,shipping_cost_eur,payment_method,status,is_return
T0000001,20250527,1535,142,1,2,308.96,0,617.92,617.92,3.99,bank_transfer,completed,False
T0000002,20250115,1054,15,1,1,300.39,15,255.33,255.33,0.0,credit_card,completed,False
T0000003,20240804,1492,115,2,2,33.73,10,60.71,60.71,6.99,credit_card,completed,False
T0000004,20241001,752,85,1,3,45.13,5,128.62,128.62,3.99,credit_card,completed,False
T0000005,20240709,1666,114,3,1,65.45,0,65.45,-65.45,4.99,credit_card,returned,True
T0000006,20250220,1248,92,1,3,117.46,5,334.76,334.76,6.99,credit_card,completed,False
T0000008,20240718,639,133,5,2,303.67,0,607.34,607.34,3.99,paypal,completed,False
T0000009,20241213,420,81,3,3,136.98,0,410.94,-410.94,6.99,paypal,returned,True
T0000010,20250530,1597,137,2,2,66.63,5,126.6,-126.6,4.99,bank_transfer,returned,True
T0000012,20250328,677,105,1,1,346.01,20,276.81,276.81,6.99,paypal,completed,False
T0000013,20250602,1546,127,3,1,400.71,20,320.57,320.57,0.0,klarna,completed,False
T0000014,20241015,1278,10,3,2,453.33,20,725.33,725.33,4.99,apple_pay,completed,False
T0000018,20240712,512,142,2,3,308.96,15,787.85,787.85,3.99,credit_card,cancelled,False
T0000019,20240821,876,39,2,1,483.04,0,483.04,483.04,0.0,klarna,completed,False
T0000020,20240718,1234,96,1,1,108.12,10,97.31,97.31,0.0,paypal,completed,False
T0000021,20240705,1766,145,3,1,419.27,5,398.31,398.31,3.99,credit_card,completed,False
T0000023,20250203,420,15,2,2,300.39,0,600.78,600.78,4.99,bank_transfer,completed,False
T0000024,20250123,1782,9,2,2,193.38,20,309.41,309.41,6.99,apple_pay,completed,False
T0000025,20240723,1277,135,2,1,90.61,5,86.08,86.08,6.99,credit_card,completed,False
T0000026,20241018,912,63,4,2,406.92,15,691.76,691.76,3.99,klarna,completed,False
T0000027,20250123,1394,131,3,2,179.38,0,358.76,358.76,6.99,bank_transfer,completed,False
T0000028,20241117,149,57,1,2,155.69,10,280.24,280.24,0.0,paypal,completed,False
T0000029,20250628,390,76,2,1,152.77,15,129.85,129.85,3.99,klarna,completed,False
T0000030,20250106,730,148,4,2,248.55,0,497.1,497.1,3.99,bank_transfer,cancelled,False
T0000031,20250522,1079,128,3,3,255.43,10,689.66,689.66,3.99,paypal,completed,False
T0000032,20250413,172,149,2,2,166.52,0,333.04,333.04,0.0,credit_card,completed,False
T0000033,20250227,963,87,3,3,373.8,5,1065.33,1065.33,4.99,credit_card,completed,False
