transaction_id,order_date,customer_id,product_id,channel_id,quantity,unit_price_eur,discount_pct,total_amount_eur,payment_method,status,shipping_cost_eur,year,month,is_return
T0000001,2025-05-27 16:12:00,C01535,P00142,CH01,2,308.96,0,617.92,bank_transfer,completed,3.99,2025,5,False
T0000002,2025-01-15 17:13:00,C01054,P00015,CH01,1,300.39,15,255.33,credit_card,completed,0.0,2025,1,False
T0000003,2024-08-04 15:32:00,C01492,P00115,CH02,2,33.73,10,60.71,credit_card,completed,6.99,2024,8,False
T0000004,2024-10-01 12:01:00,C00752,P00085,CH01,3,45.13,5,128.62,credit_card,completed,3.99,2024,10,False
T0000005,2024-07-09 16:22:00,C01666,P00114,CH03,1,65.45,0,65.45,credit_card,returned,4.99,2024,7,True
T0000006,2025-02-20 16:30:00,C01248,P00092,CH01,3,117.46,5,334.76,credit_card,completed,6.99,2025,2,False
T0000008,2024-07-18 18:50:00,C00639,P00133,CH05,2,303.67,0,607.34,paypal,completed,3.99,2024,7,False
T0000009,2024-12-13 15:21:00,C00420,P00081,CH03,3,136.98,0,410.94,paypal,returned,6.99,2024,12,True
T0000010,2025-05-30 09:05:00,C01597,P00137,CH02,2,66.63,5,126.6,bank_transfer,returned,4.99,2025,5,True
T0000012,2025-03-28 09:56:00,C00677,P00105,CH01,1,346.01,20,276.81,paypal,completed,6.99,2025,3,False
T0000013,2025-06-02 15:18:00,C01546,P00127,CH03,1,400.71,20,320.57,klarna,completed,0.0,2025,6,False
T0000014,2024-10-15 20:38:00,C01278,P00010,CH03,2,453.33,20,725.33,apple_pay,completed,4.99,2024,10,False
T0000018,2024-07-12 18:27:00,C00512,P00142,CH02,3,308.96,15,787.85,credit_card,cancelled,3.99,2024,7,False
T0000019,2024-08-21 14:33:00,C00876,P00039,CH02,1,483.04,0,483.04,klarna,completed,0.0,2024,8,False
T0000020,2024-07-18 18:28:00,C01234,P00096,CH01,1,108.12,10,97.31,paypal,completed,0.0,2024,7,False
T0000021,2024-07-05 07:23:00,C01766,P00145,CH03,1,419.27,5,398.31,credit_card,completed,3.99,2024,7,False
